CalibBP,F14C,sigma
1155,0.860703,0.0011778
1160,0.861989,0.00117956
1165,0.863493,0.00118162
1170,0.862848,0.00128799
1175,0.860488,0.0011775
1180,0.857174,0.00127952
1185,0.853873,0.00116845
1190,0.85228,0.00116627
1195,0.851961,0.00105992
1200,0.852386,0.00116642
1205,0.853554,0.00116802
1210,0.855149,0.0012765
1215,0.856641,0.00117224
1220,0.856534,0.00127857
1225,0.855681,0.0012773
1230,0.85483,0.00138227
1235,0.854085,0.00127491
1240,0.853447,0.00138004
1245,0.853235,0.00137969
1250,0.853447,0.00138004
1255,0.853447,0.00138004
1260,0.852492,0.00137849
1265,0.851219,0.00137643
1270,0.850266,0.00148056
1275,0.849314,0.00137335
1280,0.848152,0.00137147
1285,0.84657,0.00136892
1290,0.844675,0.00136585
1295,0.842679,0.00125789
1300,0.840688,0.00135941
1305,0.838807,0.00125211
1310,0.837346,0.001354
1315,0.836304,0.00124837
1320,0.836096,0.00135198
1325,0.836096,0.00135198
1330,0.835888,0.00145553
1335,0.835368,0.00145462
1340,0.834744,0.00145353
1345,0.833913,0.00134845
1350,0.832876,0.00134677
1355,0.83184,0.0013451
1360,0.831426,0.00134443
1365,0.831322,0.00134426
1370,0.831012,0.00134376
1375,0.830598,0.00134309
1380,0.829978,0.00134209
1385,0.829255,0.00123785
1390,0.828636,0.00133992
1395,0.828017,0.001236
1400,0.827605,0.00123538
1405,0.826884,0.00123431
1410,0.825239,0.00123185
1415,0.823289,0.00122894
1420,0.821651,0.0012265
1425,0.820731,0.0011231
1430,0.821037,0.00122558
1435,0.821651,0.0012265
1440,0.821344,0.00132813
1445,0.820731,0.00122512
1450,0.820527,0.0013268
1455,0.820935,0.00122543
1460,0.82206,0.00132928
1465,0.823392,0.00133144
1470,0.823802,0.0013321
1475,0.823494,0.0013316
1480,0.822879,0.00133061
1485,0.822265,0.00132962
1490,0.822367,0.00132978
1495,0.822777,0.00133044
1500,0.822982,0.00133077
1505,0.823187,0.00133111
1510,0.823392,0.00133144
1515,0.823084,0.00133094
1520,0.821549,0.00132846
1525,0.819404,0.00122314
1530,0.817773,0.00132235
1535,0.816553,0.00121889
1540,0.815841,0.00131923
1545,0.815232,0.00121692
1550,0.814421,0.0012157
1555,0.813306,0.00111294
1560,0.812193,0.00121238
1565,0.811082,0.00131153
1570,0.809871,0.00130957
1575,0.809065,0.00120771
1580,0.809367,0.00130876
1585,0.809972,0.0014104
1590,0.810174,0.00151142
1595,0.809871,0.00151086
1600,0.80967,0.00151048
1605,0.809166,0.00140899
1610,0.80836,0.00140759
1615,0.807355,0.00130551
1620,0.80625,0.00130372
1625,0.805147,0.00130193
1630,0.804145,0.00130031
1635,0.803344,0.00129902
1640,0.802845,0.00129821
1645,0.802944,0.00129837
1650,0.803644,0.00129951
1655,0.804445,0.0013008
1660,0.804445,0.0013008
1665,0.804345,0.00130064
1670,0.805046,0.00130177
1675,0.806149,0.00130356
1680,0.806752,0.00130453
1685,0.806651,0.00120411
1690,0.805247,0.00120201
1695,0.803544,0.00109958
1700,0.802545,0.00119798
1705,0.801846,0.00109726
1710,0.800549,0.001195
1715,0.799155,0.00129225
1720,0.79826,0.00139001
1725,0.797764,0.00148827
1730,0.797168,0.00148716
1735,0.796573,0.00148605
1740,0.795879,0.00138586
1745,0.795384,0.00128615
1750,0.795384,0.001385
1755,0.79578,0.00148457
1760,0.796176,0.00148531
1765,0.796374,0.00148568
1770,0.796374,0.00148568
1775,0.796077,0.00148513
1780,0.795879,0.00148476
1785,0.795681,0.00148439
1790,0.795681,0.00148439
1795,0.79578,0.00148457
1800,0.795879,0.00148476
1805,0.795879,0.00148476
1810,0.795681,0.00138551
1815,0.794988,0.00128551
1820,0.792912,0.00128215
1825,0.790645,0.00118021
1830,0.789662,0.00137503
1835,0.789465,0.00147279
1840,0.789465,0.00147279
1845,0.78976,0.00147334
1850,0.790252,0.00137606
1855,0.790744,0.00127864
1860,0.79035,0.00127801
1865,0.789367,0.00137452
1870,0.788286,0.00137264
1875,0.787208,0.00127293
1880,0.786228,0.00127134
1885,0.785348,0.00126992
1890,0.784762,0.00126897
